Timestamp,Employer,Location,Job Title,Years at Employer,Years of Experience,Salary,Signing Bonus,Annual Bonus,Annual Stock Value/Bonus,Gender,Additional Comments
3/21/2016 12:54:49,,"Raleigh, NC",Software Developer,,18.0,122000.0,,,,M,
3/21/2016 12:58:52,Opower,"San Francisco, CA",Systems Engineer,2.0,13.0,125000.0,5000.0,0.0,,M,Don't work here.
3/21/2016 12:58:57,,San Diego CA,Systems Engineer,1.0,1.0,83000.0,0.0,5000.0,0.0,M,
3/21/2016 12:58:58,Walmart,"Bentonville, AR",Senior Developer,8.0,15.0,65000.0,,5000.0,3000.0,M,
3/21/2016 12:59:11,Vertical Knowledge,"Cleveland, OH",Software Engineer,1.0,4.0,86000.0,5000.0,6000.0,0.0,M,
3/21/2016 12:59:30,,"Palo Alto, CA",Director Of Product,,10.0,200000.0,,40000.0,250000.0,,
3/21/2016 13:00:17,NetApp,Waltham,Mts,0.0,4.0,105000.0,5000.0,8500.0,0.0,M,
3/21/2016 13:01:19,,,Zz,,,1.0,,,,,
3/21/2016 13:01:19,,"Copenhagen, Denmark",Software Developer,1.0,2.0,90500.0,0.0,0.0,0.0,M,Finance
3/21/2016 13:02:01,,,Sr Operations Engineer,,,105000.0,,20000.0,,M,
3/21/2016 13:02:04,,,Asdf,,,80000.0,,,,,
3/21/2016 13:02:08,Apple,Cupertino,Software Engineer,3.0,4.0,110000.0,5000.0,7000.0,150000.0,M,
3/21/2016 13:03:03,,"Austin, TX",Devops Engineer,1.0,10.0,115000.0,,,,M,
3/21/2016 13:03:06,Casino,Eastern Oregon,It Technician,1.5,5.0,40000.0,0.0,500.0,0.0,M,
3/21/2016 13:03:23,,,Software Engineer,,,30000.0,,,,M,
3/21/2016 13:03:35,Tetra Tech,"Madison, WI",Lead Interviewer,2.5,4.0,45000.0,0.0,1500.0,,M,
3/21/2016 13:03:52,Knewton,New York City,Senior Software Engineer,2.0,8.0,135000.0,0.0,0.0,,M,
